"BindingDB","Host","Guest","pH","Temp","Delta_G0 (kJ/mol)","Delta_H0 (k/mol)","-T Delta_S0 (kJ/mol)","Ligand SMILES","SlogP","SMR","LabuteASA","TPSA","AMW","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumAmideBonds","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumStereocenters","NumUnspecifiedStereocenters","NumRings","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","FractionCSP3","Chi0v","Chi1v","Chi2v","Chi3v","Chi4v","Chi1n","Chi2n","Chi3n","Chi4n","HallKierAlpha","kappa1","kappa2","kappa3","slogp_VSA1","slogp_VSA2","slogp_VSA3","slogp_VSA4","slogp_VSA5","slogp_VSA6","slogp_VSA7","slogp_VSA8","slogp_VSA9","slogp_VSA10","slogp_VSA11","slogp_VSA12","smr_VSA1","smr_VSA2","smr_VSA3","smr_VSA4","smr_VSA5","smr_VSA6","smr_VSA7","smr_VSA8","smr_VSA9","smr_VSA10","peoe_VSA1","peoe_VSA2","peoe_VSA3","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA7","peoe_VSA8","peoe_VSA9","peoe_VSA10","peoe_VSA11","peoe_VSA12","peoe_VSA13","peoe_VSA14","MQN1","MQN2","MQN3","MQN4","MQN5","MQN6","MQN7","MQN8","MQN9","MQN10","MQN11","MQN12","MQN13","MQN14","MQN15","MQN16","MQN17","MQN18","MQN19","MQN20","MQN21","MQN22","MQN23","MQN24","MQN25","MQN26","MQN27","MQN28","MQN29","MQN30","MQN31","MQN32","MQN33","MQN34","MQN35","MQN36","MQN37","MQN38","MQN39","MQN40","MQN41","MQN42","XLogP","Formal Charge","Host SMILES","SlogP (#1)","SMR (#1)","LabuteASA (#1)","TPSA (#1)","AMW (#1)","ExactMW (#1)","NumLipinskiHBA (#1)","NumLipinskiHBD (#1)","NumRotatableBonds (#1)","NumHBD (#1)","NumHBA (#1)","NumAmideBonds (#1)","NumHeteroAtoms (#1)","NumHeavyAtoms (#1)","NumAtoms (#1)","NumStereocenters (#1)","NumUnspecifiedStereocenters (#1)","NumRings (#1)","NumAromaticRings (#1)","NumSaturatedRings (#1)","NumAliphaticRings (#1)","NumAromaticHeterocycles (#1)","NumSaturatedHeterocycles (#1)","NumAliphaticHeterocycles (#1)","NumAromaticCarbocycles (#1)","NumSaturatedCarbocycles (#1)","NumAliphaticCarbocycles (#1)","FractionCSP3 (#1)","Chi0v (#1)","Chi1v (#1)","Chi2v (#1)","Chi3v (#1)","Chi4v (#1)","Chi1n (#1)","Chi2n (#1)","Chi3n (#1)","Chi4n (#1)","HallKierAlpha (#1)","kappa1 (#1)","kappa2 (#1)","kappa3 (#1)","slogp_VSA1 (#1)","slogp_VSA2 (#1)","slogp_VSA3 (#1)","slogp_VSA4 (#1)","slogp_VSA5 (#1)","slogp_VSA6 (#1)","slogp_VSA7 (#1)","slogp_VSA8 (#1)","slogp_VSA9 (#1)","slogp_VSA10 (#1)","slogp_VSA11 (#1)","slogp_VSA12 (#1)","smr_VSA1 (#1)","smr_VSA2 (#1)","smr_VSA3 (#1)","smr_VSA4 (#1)","smr_VSA5 (#1)","smr_VSA6 (#1)","smr_VSA7 (#1)","smr_VSA8 (#1)","smr_VSA9 (#1)","smr_VSA10 (#1)","peoe_VSA1 (#1)","peoe_VSA2 (#1)","peoe_VSA3 (#1)","peoe_VSA4 (#1)","peoe_VSA5 (#1)","peoe_VSA6 (#1)","peoe_VSA7 (#1)","peoe_VSA8 (#1)","peoe_VSA9 (#1)","peoe_VSA10 (#1)","peoe_VSA11 (#1)","peoe_VSA12 (#1)","peoe_VSA13 (#1)","peoe_VSA14 (#1)","MQN1 (#1)","MQN2 (#1)","MQN3 (#1)","MQN4 (#1)","MQN5 (#1)","MQN6 (#1)","MQN7 (#1)","MQN8 (#1)","MQN9 (#1)","MQN10 (#1)","MQN11 (#1)","MQN12 (#1)","MQN13 (#1)","MQN14 (#1)","MQN15 (#1)","MQN16 (#1)","MQN17 (#1)","MQN18 (#1)","MQN19 (#1)","MQN20 (#1)","MQN21 (#1)","MQN22 (#1)","MQN23 (#1)","MQN24 (#1)","MQN25 (#1)","MQN26 (#1)","MQN27 (#1)","MQN28 (#1)","MQN29 (#1)","MQN30 (#1)","MQN31 (#1)","MQN32 (#1)","MQN33 (#1)","MQN34 (#1)","MQN35 (#1)","MQN36 (#1)","MQN37 (#1)","MQN38 (#1)","MQN39 (#1)","MQN40 (#1)","MQN41 (#1)","MQN42 (#1)","XLogP (#1)","Formal Charge (#1)"
"3540_34","BDBM4","BDBM23432",6.9,"25.00 C",-19.34,-19.34,1.133,"CCCCCCCC([O-])=O",1.0968,38.383,62.24960168084558,40.129999999999995,143.206,143.10775329991,2,0,6,0,2,0,2,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0.875,6.559137268047012,3.968908462243684,2.536222030301241,1.4844542311218418,0.87289095789068,3.968908462243684,2.536222030301241,1.4844542311218418,0.87289095789068,-0.53,9.47,6.588063754427392,7.470000000000003,5.106527394840706,5.969305287951849,4.794537184071822,0,45.448666937246685,0,0,0,0,0,0,0,9.901064578912528,0,0,0,45.448666937246685,0,0,0,0,5.969305287951849,9.901064578912528,0,0,0,0,32.60702369139466,12.841643245852019,5.969305287951849,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,10,8,1,0,0,0,0,6,5,2,0,0,1,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.537,-1,"OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O",-13.054800000000023,195.80039999999966,372.1301572506171,474.9000000000001,972.8460000000011,972.3169405200002,30,18,6,18,30,0,30,66,126,30,30,22,0,22,22,0,22,22,0,0,0,1,34.51197296737365,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,-1.2000000000000004,52.6198793450158,22.059591241285467,10.009092001682587,0,315.7941385761807,56.84235544560059,0,0,0,0,0,0,0,0,0,148.7598485527333,0,0,0,184.2353536819705,39.641291787077506,0,0,0,0,148.7598485527333,0,0,0,0,0,0,0,39.641291787077506,146.49519330595925,37.740160376011275,0,0,0,36,0,0,0,0,0,0,0,0,18,12,66,24,0,0,48,0,0,6,60,30,18,18,0,0,18,6,0,0,12,30,0,0,0,0,6,0,0,0,16,42,48,-11.796000000000003,0
"3540_44","BDBM4","BDBM36142",6.9,"25.00 C",-19.27,-19.27,3.5780000000000003,"CCCCCCCC[NH3+]",1.5888,41.13109999999999,58.633736525618524,27.64,130.255,130.15902606008999,1,3,6,1,0,0,1,9,29,0,0,0,0,0,0,0,0,0,0,0,0,1,6.6568542494923815,4.207106781186547,2.621320343559642,1.6035533905932735,0.957106781186547,4.207106781186547,2.621320343559642,1.6035533905932735,0.957106781186547,-0.04,8.960000000000003,7.960000000000003,7.9600000000000035,5.733667477162185,6.544756405912575,0,0,45.448666937246685,0,0,0,0,0,0,0,5.733667477162185,0,0,0,45.448666937246685,6.544756405912575,0,0,0,0,5.733667477162185,0,0,0,0,32.60702369139466,12.841643245852019,0,6.544756405912575,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,9,8,0,0,0,0,0,6,1,1,3,1,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.594,1,"OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O",-13.054800000000023,195.80039999999966,372.1301572506171,474.9000000000001,972.8460000000011,972.3169405200002,30,18,6,18,30,0,30,66,126,30,30,22,0,22,22,0,22,22,0,0,0,1,34.51197296737365,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,-1.2000000000000004,52.6198793450158,22.059591241285467,10.009092001682587,0,315.7941385761807,56.84235544560059,0,0,0,0,0,0,0,0,0,148.7598485527333,0,0,0,184.2353536819705,39.641291787077506,0,0,0,0,148.7598485527333,0,0,0,0,0,0,0,39.641291787077506,146.49519330595925,37.740160376011275,0,0,0,36,0,0,0,0,0,0,0,0,18,12,66,24,0,0,48,0,0,6,60,30,18,18,0,0,18,6,0,0,12,30,0,0,0,0,6,0,0,0,16,42,48,-11.796000000000003,0
"3534_13","BDBM4","BDBM36142",6.9,"14.50 C",-19.217,-19.217,-1.6969999999999998,"CCCCCCCC[NH3+]",1.5888,41.13109999999999,58.633736525618524,27.64,130.255,130.15902606008999,1,3,6,1,0,0,1,9,29,0,0,0,0,0,0,0,0,0,0,0,0,1,6.6568542494923815,4.207106781186547,2.621320343559642,1.6035533905932735,0.957106781186547,4.207106781186547,2.621320343559642,1.6035533905932735,0.957106781186547,-0.04,8.960000000000003,7.960000000000003,7.9600000000000035,5.733667477162185,6.544756405912575,0,0,45.448666937246685,0,0,0,0,0,0,0,5.733667477162185,0,0,0,45.448666937246685,6.544756405912575,0,0,0,0,5.733667477162185,0,0,0,0,32.60702369139466,12.841643245852019,0,6.544756405912575,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,9,8,0,0,0,0,0,6,1,1,3,1,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.594,1,"OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O",-13.054800000000023,195.80039999999966,372.1301572506171,474.9000000000001,972.8460000000011,972.3169405200002,30,18,6,18,30,0,30,66,126,30,30,22,0,22,22,0,22,22,0,0,0,1,34.51197296737365,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,-1.2000000000000004,52.6198793450158,22.059591241285467,10.009092001682587,0,315.7941385761807,56.84235544560059,0,0,0,0,0,0,0,0,0,148.7598485527333,0,0,0,184.2353536819705,39.641291787077506,0,0,0,0,148.7598485527333,0,0,0,0,0,0,0,39.641291787077506,146.49519330595925,37.740160376011275,0,0,0,36,0,0,0,0,0,0,0,0,18,12,66,24,0,0,48,0,0,6,60,30,18,18,0,0,18,6,0,0,12,30,0,0,0,0,6,0,0,0,16,42,48,-11.796000000000003,0
"3534_14","BDBM4","BDBM36142",6.9,"25.00 C",-19.217,-19.217,2.862,"CCCCCCCC[NH3+]",1.5888,41.13109999999999,58.633736525618524,27.64,130.255,130.15902606008999,1,3,6,1,0,0,1,9,29,0,0,0,0,0,0,0,0,0,0,0,0,1,6.6568542494923815,4.207106781186547,2.621320343559642,1.6035533905932735,0.957106781186547,4.207106781186547,2.621320343559642,1.6035533905932735,0.957106781186547,-0.04,8.960000000000003,7.960000000000003,7.9600000000000035,5.733667477162185,6.544756405912575,0,0,45.448666937246685,0,0,0,0,0,0,0,5.733667477162185,0,0,0,45.448666937246685,6.544756405912575,0,0,0,0,5.733667477162185,0,0,0,0,32.60702369139466,12.841643245852019,0,6.544756405912575,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,9,8,0,0,0,0,0,6,1,1,3,1,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.594,1,"OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O",-13.054800000000023,195.80039999999966,372.1301572506171,474.9000000000001,972.8460000000011,972.3169405200002,30,18,6,18,30,0,30,66,126,30,30,22,0,22,22,0,22,22,0,0,0,1,34.51197296737365,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,-1.2000000000000004,52.6198793450158,22.059591241285467,10.009092001682587,0,315.7941385761807,56.84235544560059,0,0,0,0,0,0,0,0,0,148.7598485527333,0,0,0,184.2353536819705,39.641291787077506,0,0,0,0,148.7598485527333,0,0,0,0,0,0,0,39.641291787077506,146.49519330595925,37.740160376011275,0,0,0,36,0,0,0,0,0,0,0,0,18,12,66,24,0,0,48,0,0,6,60,30,18,18,0,0,18,6,0,0,12,30,0,0,0,0,6,0,0,0,16,42,48,-11.796000000000003,0
"3539_17","BDBM4","BDBM23432",6.9,"25.00 C",-19.01,-19.01,1.3119999999999998,"CCCCCCCC([O-])=O",1.0968,38.383,62.24960168084558,40.129999999999995,143.206,143.10775329991,2,0,6,0,2,0,2,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0.875,6.559137268047012,3.968908462243684,2.536222030301241,1.4844542311218418,0.87289095789068,3.968908462243684,2.536222030301241,1.4844542311218418,0.87289095789068,-0.53,9.47,6.588063754427392,7.470000000000003,5.106527394840706,5.969305287951849,4.794537184071822,0,45.448666937246685,0,0,0,0,0,0,0,9.901064578912528,0,0,0,45.448666937246685,0,0,0,0,5.969305287951849,9.901064578912528,0,0,0,0,32.60702369139466,12.841643245852019,5.969305287951849,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,10,8,1,0,0,0,0,6,5,2,0,0,1,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.537,-1,"OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O",-13.054800000000023,195.80039999999966,372.1301572506171,474.9000000000001,972.8460000000011,972.3169405200002,30,18,6,18,30,0,30,66,126,30,30,22,0,22,22,0,22,22,0,0,0,1,34.51197296737365,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,-1.2000000000000004,52.6198793450158,22.059591241285467,10.009092001682587,0,315.7941385761807,56.84235544560059,0,0,0,0,0,0,0,0,0,148.7598485527333,0,0,0,184.2353536819705,39.641291787077506,0,0,0,0,148.7598485527333,0,0,0,0,0,0,0,39.641291787077506,146.49519330595925,37.740160376011275,0,0,0,36,0,0,0,0,0,0,0,0,18,12,66,24,0,0,48,0,0,6,60,30,18,18,0,0,18,6,0,0,12,30,0,0,0,0,6,0,0,0,16,42,48,-11.796000000000003,0
"3547_2","BDBM4","BDBM36254",,"24.85 C",-18.95,-18.95,-4.41,"Oc1ccc(cc1)N=Nc2ccc(C([O-])=O)c(Cl)c2",2.8245000000000013,68.06530000000002,113.35347311576416,85.08000000000001,275.671,275.02289337591003,5,1,3,1,5,0,6,19,27,0,0,2,2,0,0,0,0,0,2,0,0,0,10.333482670782663,5.655416469986146,4.075204607107284,2.6159406668642067,1.618470454560374,5.277451996976918,3.6680044803666774,2.3032316583759074,1.3665356182621589,-2.4,13.041632231404959,5.494903827087053,3.2932067202337483,5.106527394840706,11.075832682792555,0,0,10.357988675768818,52.693069730490066,5.022633313741326,0,0,11.374772549367124,5.749511833283905,11.600939890232516,15.007591973753232,0,0,10.228500251258795,0,0,53.05065428466959,0,5.749511833283905,28.945017727551487,15.007591973753232,0,0,10.228500251258795,0,11.600939890232516,42.46456947923127,5.563451491696996,22.3667111510603,5.749511833283905,0,0,0,0,13,0,1,0,0,0,0,2,0,3,0,19,6,2,0,6,6,0,3,9,5,1,1,1,0,4,2,1,0,7,5,0,0,0,0,2,0,0,0,0,0,0,3.4900000000000007,-1,"OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O",-13.054800000000023,195.80039999999966,372.1301572506171,474.9000000000001,972.8460000000011,972.3169405200002,30,18,6,18,30,0,30,66,126,30,30,22,0,22,22,0,22,22,0,0,0,1,34.51197296737365,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,-1.2000000000000004,52.6198793450158,22.059591241285467,10.009092001682587,0,315.7941385761807,56.84235544560059,0,0,0,0,0,0,0,0,0,148.7598485527333,0,0,0,184.2353536819705,39.641291787077506,0,0,0,0,148.7598485527333,0,0,0,0,0,0,0,39.641291787077506,146.49519330595925,37.740160376011275,0,0,0,36,0,0,0,0,0,0,0,0,18,12,66,24,0,0,48,0,0,6,60,30,18,18,0,0,18,6,0,0,12,30,0,0,0,0,6,0,0,0,16,42,48,-11.796000000000003,0
"3534_15","BDBM4","BDBM36142",6.9,"35.00 C",-18.882,-18.882,8.258,"CCCCCCCC[NH3+]",1.5888,41.13109999999999,58.633736525618524,27.64,130.255,130.15902606008999,1,3,6,1,0,0,1,9,29,0,0,0,0,0,0,0,0,0,0,0,0,1,6.6568542494923815,4.207106781186547,2.621320343559642,1.6035533905932735,0.957106781186547,4.207106781186547,2.621320343559642,1.6035533905932735,0.957106781186547,-0.04,8.960000000000003,7.960000000000003,7.9600000000000035,5.733667477162185,6.544756405912575,0,0,45.448666937246685,0,0,0,0,0,0,0,5.733667477162185,0,0,0,45.448666937246685,6.544756405912575,0,0,0,0,5.733667477162185,0,0,0,0,32.60702369139466,12.841643245852019,0,6.544756405912575,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,9,8,0,0,0,0,0,6,1,1,3,1,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.594,1,"OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O",-13.054800000000023,195.80039999999966,372.1301572506171,474.9000000000001,972.8460000000011,972.3169405200002,30,18,6,18,30,0,30,66,126,30,30,22,0,22,22,0,22,22,0,0,0,1,34.51197296737365,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,-1.2000000000000004,52.6198793450158,22.059591241285467,10.009092001682587,0,315.7941385761807,56.84235544560059,0,0,0,0,0,0,0,0,0,148.7598485527333,0,0,0,184.2353536819705,39.641291787077506,0,0,0,0,148.7598485527333,0,0,0,0,0,0,0,39.641291787077506,146.49519330595925,37.740160376011275,0,0,0,36,0,0,0,0,0,0,0,0,18,12,66,24,0,0,48,0,0,6,60,30,18,18,0,0,18,6,0,0,12,30,0,0,0,0,6,0,0,0,16,42,48,-11.796000000000003,0
"3534_16","BDBM4","BDBM36142",6.9,"45.00 C",-18.673,-18.673,12.376,"CCCCCCCC[NH3+]",1.5888,41.13109999999999,58.633736525618524,27.64,130.255,130.15902606008999,1,3,6,1,0,0,1,9,29,0,0,0,0,0,0,0,0,0,0,0,0,1,6.6568542494923815,4.207106781186547,2.621320343559642,1.6035533905932735,0.957106781186547,4.207106781186547,2.621320343559642,1.6035533905932735,0.957106781186547,-0.04,8.960000000000003,7.960000000000003,7.9600000000000035,5.733667477162185,6.544756405912575,0,0,45.448666937246685,0,0,0,0,0,0,0,5.733667477162185,0,0,0,45.448666937246685,6.544756405912575,0,0,0,0,5.733667477162185,0,0,0,0,32.60702369139466,12.841643245852019,0,6.544756405912575,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,9,8,0,0,0,0,0,6,1,1,3,1,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.594,1,"OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O",-13.054800000000023,195.80039999999966,372.1301572506171,474.9000000000001,972.8460000000011,972.3169405200002,30,18,6,18,30,0,30,66,126,30,30,22,0,22,22,0,22,22,0,0,0,1,34.51197296737365,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,-1.2000000000000004,52.6198793450158,22.059591241285467,10.009092001682587,0,315.7941385761807,56.84235544560059,0,0,0,0,0,0,0,0,0,148.7598485527333,0,0,0,184.2353536819705,39.641291787077506,0,0,0,0,148.7598485527333,0,0,0,0,0,0,0,39.641291787077506,146.49519330595925,37.740160376011275,0,0,0,36,0,0,0,0,0,0,0,0,18,12,66,24,0,0,48,0,0,6,60,30,18,18,0,0,18,6,0,0,12,30,0,0,0,0,6,0,0,0,16,42,48,-11.796000000000003,0
"3547_4","BDBM4","BDBM36256",,"24.85 C",-18.27,-18.27,-8.94,"Oc1ccc(cc1)N=Nc2ccccc2C([O-])=O",2.1711,63.055300000000024,103.0502068888825,85.08000000000001,241.226,241.06186572791,5,1,3,1,5,0,5,18,27,0,0,2,2,0,0,0,0,0,2,0,0,0,9.276939520944609,5.177786157949345,3.5210043164934617,2.2468778656443025,1.36435428433683,5.177786157949345,3.5210043164934617,2.2468778656443025,1.36435428433683,-2.69,11.785459943965801,5.093268884856856,2.7042744257082765,5.106527394840706,11.075832682792555,0,0,10.357988675768818,58.759436798951675,0,0,0,11.374772549367124,5.749511833283905,0,15.007591973753232,0,0,10.228500251258795,0,0,54.09438803938988,0,5.749511833283905,17.344077837318974,15.007591973753232,0,0,5.114250125629398,5.114250125629398,18.19910120538483,30.33183534230805,5.563451491696996,17.344077837318974,5.749511833283905,0,0,0,0,13,0,0,0,0,0,0,2,0,3,0,18,5,2,0,6,6,0,3,9,5,1,1,1,0,3,2,1,0,8,4,0,0,0,0,2,0,0,0,0,0,0,2.8680000000000008,-1,"OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O",-13.054800000000023,195.80039999999966,372.1301572506171,474.9000000000001,972.8460000000011,972.3169405200002,30,18,6,18,30,0,30,66,126,30,30,22,0,22,22,0,22,22,0,0,0,1,34.51197296737365,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,-1.2000000000000004,52.6198793450158,22.059591241285467,10.009092001682587,0,315.7941385761807,56.84235544560059,0,0,0,0,0,0,0,0,0,148.7598485527333,0,0,0,184.2353536819705,39.641291787077506,0,0,0,0,148.7598485527333,0,0,0,0,0,0,0,39.641291787077506,146.49519330595925,37.740160376011275,0,0,0,36,0,0,0,0,0,0,0,0,18,12,66,24,0,0,48,0,0,6,60,30,18,18,0,0,18,6,0,0,12,30,0,0,0,0,6,0,0,0,16,42,48,-11.796000000000003,0
"3548_2","BDBM4","BDBM36260",5.5,"24.85 C",-17.6,-17.6,1.252,"CCCCCCC[N+](C)(C)Cc1ccc[cH-]1",3.9523000000000037,71.47340000000005,101.04014186032954,0,221.388,221.21434986399998,1,0,8,0,0,0,1,16,43,0,0,1,1,0,0,0,0,0,1,0,0,0.6666666666666666,11.206362140564297,6.664893164003039,5.524814170372395,3.209313653803329,2.2359625090126705,6.664893164003039,5.524814170372395,3.209313653803329,2.2359625090126705,-0.6900000000000001,13.375316786414109,6.798783271440569,5.409157334031332,0,25.12313122896158,6.544756405912575,0,44.59129680601767,24.26546827384644,0,0,0,0,0,0,4.483030857694624,0,0,0,45.572601720233244,20.640100371266954,29.828919765543436,0,0,0,4.483030857694624,0,12.13273413692322,12.13273413692322,5.563451491696996,26.186202068468653,12.841643245852019,0,27.18485677717953,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,16,11,0,0,3,2,0,8,0,0,0,0,1,1,3,7,0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,3.868,0,"OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O",-13.054800000000023,195.80039999999966,372.1301572506171,474.9000000000001,972.8460000000011,972.3169405200002,30,18,6,18,30,0,30,66,126,30,30,22,0,22,22,0,22,22,0,0,0,1,34.51197296737365,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,-1.2000000000000004,52.6198793450158,22.059591241285467,10.009092001682587,0,315.7941385761807,56.84235544560059,0,0,0,0,0,0,0,0,0,148.7598485527333,0,0,0,184.2353536819705,39.641291787077506,0,0,0,0,148.7598485527333,0,0,0,0,0,0,0,39.641291787077506,146.49519330595925,37.740160376011275,0,0,0,36,0,0,0,0,0,0,0,0,18,12,66,24,0,0,48,0,0,6,60,30,18,18,0,0,18,6,0,0,12,30,0,0,0,0,6,0,0,0,16,42,48,-11.796000000000003,0
"3548_3","BDBM4","BDBM36261",2.6,"24.85 C",-17.6,-17.6,15.495999999999999,"C[N+](C)(CCCCCCCC(O)=O)Cc1ccc[cH-]1",3.4071000000000016,78.05220000000007,116.36083982696597,37.3,265.397,265.204179104,3,1,10,1,1,0,3,19,46,0,0,1,1,0,0,0,0,0,1,0,0,0.625,12.268930807714666,7.239070716391676,6.022106104189021,3.4964024299976475,2.43896492946222,7.239070716391676,6.022106104189021,3.4964024299976475,2.43896492946222,-1.2200000000000002,15.836242969628795,8.051902636278918,7.727251967036591,0,36.198963911754134,11.339293589984397,0,44.08838122925306,24.26546827384644,0,0,0,0,0,0,14.38409543660715,0,0,0,45.06968614346864,20.640100371266954,29.828919765543436,0,0,5.969305287951849,9.58955825253533,4.794537184071822,12.13273413692322,12.13273413692322,5.563451491696996,12.841643245852019,19.26246486877803,6.4208216229260096,27.18485677717953,0,0,0,0,5.969305287951849,16,0,0,0,0,0,0,1,0,2,0,19,13,1,0,3,2,0,10,4,2,1,1,1,1,4,8,1,1,4,1,0,0,0,1,0,0,0,0,0,0,0,2.5629999999999997,0,"OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O",-13.054800000000023,195.80039999999966,372.1301572506171,474.9000000000001,972.8460000000011,972.3169405200002,30,18,6,18,30,0,30,66,126,30,30,22,0,22,22,0,22,22,0,0,0,1,34.51197296737365,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,21.102097265342508,16.844295392204543,12.671478720786514,8.927761457006977,-1.2000000000000004,52.6198793450158,22.059591241285467,10.009092001682587,0,315.7941385761807,56.84235544560059,0,0,0,0,0,0,0,0,0,148.7598485527333,0,0,0,184.2353536819705,39.641291787077506,0,0,0,0,148.7598485527333,0,0,0,0,0,0,0,39.641291787077506,146.49519330595925,37.740160376011275,0,0,0,36,0,0,0,0,0,0,0,0,18,12,66,24,0,0,48,0,0,6,60,30,18,18,0,0,18,6,0,0,12,30,0,0,0,0,6,0,0,0,16,42,48,-11.796000000000003,0
